,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
차원,26.029927909374237,35.812871515750885,72.43777394294739,48.33617824316025,19.078152239322662,26.66648918390274,22.868426203727722,254.47874784469604,27.02970787882805,20.93153727054596,51.43048846721649,18.16521230340004,25.466626405715942,85.71771842241287,25.65234872698784,22.31271916627884,111.18733468651772,42.534617245197296,14.594677865505219,50.87038880586624,21.010308146476746,31.140480041503906,12.718274652957916,67.25122439861298,148.06643229722977,62.92536351084709,8.179904401302338,100.03519654273987,77.47137156128883,8.955144554376602,7.584154546260834,9.46055606007576,149.72768011689186,85.45080479979515,40.36590591073036,34.63809937238693,211.0041175186634,26.529473960399628,77.56309404969215,17.862889289855957,93.91170918941498,38.153681457042694,14.80794495344162,17.989836275577545,158.14659693837166,60.78314006328583,66.74894872307777,34.755312740802765,89.40512293577194,59.44879525899887,12.274605363607407,46.25128775835037,32.033599495887756,78.39333513379097,94.00806999206543,24.769340842962265,16.24917358160019,20.97393438220024,78.88378572463989,120.86307945847511,44.44084095954895
숫자,18.661731332540512,37.12452545762062,61.529910162091255,38.208179250359535,24.25308182835579,24.080776885151863,11.10037411749363,205.6877422630787,32.60269299149513,11.53785751760006,26.76714153587818,20.771761655807495,12.262239798903465,85.41195634007454,34.20766791701317,17.509529262781143,93.34711231291294,25.104740977287292,18.040353506803513,56.01189965009689,10.647376090288162,31.96889764070511,15.9000885784626,26.42757310718298,157.1409685909748,27.868141293525696,9.348032474517822,89.25047348439693,43.96339978277683,13.197342276573181,10.140675842761993,14.153317928314209,148.8585578650236,39.79267802834511,52.535836189985275,37.06008106470108,163.39092403650284,26.94857668876648,47.64747631549835,14.513519614934921,89.93138249218464,20.80265675485134,10.649723634123802,16.203055053949356,158.26944687962532,36.33049479871988,57.461470529437065,43.039736807346344,83.94109709560871,34.93100832402706,17.464159667491913,61.39162755012512,35.13363045454025,80.7154580950737,67.68246617913246,30.47069412469864,14.989461809396744,22.470541656017303,87.90226098895073,115.6377377063036,20.02849330753088
불모,21.0007766187191,36.95784169435501,67.27265086770058,42.180852591991425,21.265687882900238,25.315585404634476,14.41526797413826,237.14324924349785,31.811179727315903,14.275136142969131,35.86602011322975,19.81476318836212,16.348235368728638,90.03366631269455,30.818914711475372,18.632789820432663,105.70264104008675,31.207258135080338,16.652376234531403,56.11506685614586,13.518726497888565,32.482293516397476,14.16293129324913,40.12405872344971,165.00910365581512,38.997339487075806,8.875981450080872,96.87636387348175,57.174866020679474,10.341965138912201,8.609424948692322,11.170777797698975,159.69092705845833,56.00590941309929,50.47861593961716,37.077625781297684,190.7130148410797,27.46824398636818,59.36556887626648,15.241982251405716,96.44728764891624,25.94046786427498,11.434366345405579,16.51956483721733,168.54857170581818,44.684139996767044,63.22343274950981,41.03288018703461,90.75445064902306,44.542026817798615,15.315227329730988,58.23791900277138,35.14036303758621,85.86399233341217,79.80534973740578,31.44088613986969,15.269649684429169,22.135947555303574,88.09102645516396,125.20705044269562,28.298625588417053
유량,25.193173199892044,36.51496344804764,73.63889726996422,47.928096920251846,19.17186826467514,26.665117651224136,20.840520411729813,262.1507197022438,29.835557639598846,19.673046857118607,49.009068101644516,19.024083107709885,23.61617735028267,90.901153922081,27.082480490207672,21.37918785214424,115.0679340660572,40.794713884592056,15.217307835817337,54.07058271765709,19.365065187215805,32.755339592695236,13.10606399178505,61.80749502778053,161.61370307207108,57.61207541823387,8.442883223295212,103.36004143953323,75.03793552517891,8.657450675964355,7.522713094949722,9.25958663225174,160.74247252941132,79.86019161343575,45.637425899505615,36.76115795969963,215.25450199842453,28.223549753427505,75.19172528386116,17.006886154413223,98.04166877269745,35.26863130927086,13.82259288430214,17.68138888478279,168.92538553476334,57.81598445773125,68.25745725631714,37.378610491752625,93.88288474082947,57.6648208796978,13.111736863851547,51.099600434303284,34.12445616722107,84.73573052883148,94.41448363661766,28.728181183338165,16.135477989912033,21.77482780814171,84.60546919703484,128.38885813951492,41.29161086678505
소프트,23.97511115670204,38.35468727350235,72.96566066145897,46.61876317858696,21.471725523471832,27.042158722877502,18.298411935567856,257.338781028986,31.717038989067078,17.501803010702133,43.80119612812996,20.01424616575241,20.683171778917313,93.14132019877434,30.38413268327713,20.925034046173096,113.83924233913422,36.995228201150894,16.53441745042801,57.194463074207306,17.06215015053749,33.48341816663742,14.250294804573059,52.51167419552803,167.66300198435783,49.97299286723137,8.9798144698143,103.10217151045799,67.93587049841881,10.211204648017883,8.568876504898071,10.959560930728912,164.78492125868797,70.18528434634209,49.32144984602928,37.989187240600586,209.21252766251564,28.386658877134323,69.53583386540413,17.031193435192108,100.95230814814568,31.9214668571949,13.26811283826828,17.849912583827972,174.08979067206383,53.10141083598137,67.9388307929039,40.62622249126434,95.21941849589348,52.47741582989693,14.836344540119171,56.85566687583923,35.684553265571594,87.94688877463341,89.24163648486137,30.592005610466003,16.443376123905182,22.747232794761658,89.36331677436829,130.3544217646122,36.05609020590782
전반,18.563582316040993,35.72884513437748,61.16900093853474,37.61950685083866,22.72836634516716,23.3251491189003,11.240660384297371,208.50875988602638,32.70258764922619,11.729817599058151,27.593231350183487,19.99853551387787,12.61785426735878,85.62428814172745,32.581902623176575,16.868047446012497,94.40501372516155,25.493665158748627,17.11138552427292,54.946546763181686,10.821944236755371,31.56341663002968,15.01319307088852,27.469946652650833,158.19361740350723,28.271412655711174,8.939001739025116,89.02948743104935,44.9620291441679,11.96084588766098,9.391218900680542,12.86143046617508,150.22680093348026,40.88869205117226,52.92255845665932,36.408564418554306,165.88122545182705,27.096333727240562,48.109187349677086,13.86377602815628,89.67916062474251,20.593081817030907,10.070619776844978,15.499173402786255,158.37867511808872,36.01942199468613,57.26077887415886,41.63449668884277,83.8854101896286,35.55882224440575,16.507289052009583,59.721620723605156,34.4942792057991,81.19265019893646,68.43391846120358,30.797539591789246,14.506784707307816,21.710854053497314,86.3990053832531,116.27005170285702,20.563846230506897
진의,25.523232847452164,35.819631934165955,73.40102630853653,48.06439247727394,18.63432851433754,26.425545543432236,21.675380498170853,261.00020331144333,28.756630688905716,20.27455624938011,50.51732286810875,18.440913021564484,24.54205521941185,88.91519424319267,25.969841420650482,21.572785824537277,114.26479050517082,41.70555827021599,14.615184217691422,52.64239910244942,20.11899784207344,32.027468115091324,12.686840116977692,64.73696908354759,156.94409292936325,60.14991518855095,8.179826349020004,102.22223609685898,76.79152318835258,8.327968031167984,7.239787966012955,8.872704237699509,157.11264166235924,82.87409910559654,43.53525525331497,35.82852199673653,215.21769252419472,27.584934681653976,76.63996532559395,17.171112567186356,96.35215753316879,36.50735214352608,14.113417774438858,17.59853395819664,165.20528289675713,59.250973135232925,67.79329806566238,35.92882165312767,92.30423158407211,58.88452646136284,12.487223833799362,48.78827130794525,33.16135889291763,82.51179218292236,94.94259896874428,27.289329051971436,16.06125095486641,21.292379051446915,82.23538291454315,125.9134892821312,42.98949709534645
주먹,23.10273388028145,26.061625257134438,60.841930128633976,41.20078657567501,11.277743510901928,20.95889002084732,22.581940680742264,220.6422232836485,18.565420284867287,20.223782688379288,51.04764458537102,12.231713496148586,25.536955803632736,66.031235948205,14.895026996731758,18.63839253783226,94.63772225379944,40.306702613830566,8.91326804459095,36.547951593995094,20.72823479771614,23.126851201057434,7.788424827158451,70.11964932084084,111.52900944650173,63.53281205892563,5.399215281009674,81.5326583981514,75.08210070431232,4.014883570373058,4.058756455779076,4.186548002064228,117.0477472692728,86.1431151330471,25.91724656522274,25.25300845503807,185.4305823892355,20.209924563765526,73.51904164254665,14.739225834608078,73.90094348788261,36.72484713792801,12.832216888666153,14.122495383024216,122.8244094401598,57.34128852188587,55.199636325240135,22.21636240929365,71.74873858690262,56.8420892059803,6.509119242429733,28.414057224988937,22.97956256568432,60.07898950576782,84.42854598164558,17.002151533961296,12.767340123653412,15.009307146072388,56.337072886526585,95.94918993115425,45.46494361758232
동시,23.024407118558884,39.41052621603012,70.17748475074768,44.8639280796051,24.646740913391113,26.697003722190857,16.517786353826523,236.89960491657257,33.89751493930817,16.250615507364273,37.73268488049507,21.73408716917038,18.3060644865036,92.39902910590172,34.156892240047455,20.66844603419304,106.30576056241989,33.695826053619385,18.390036582946777,58.49353775382042,15.607738107442856,34.56112611293793,16.329751670360565,43.17895045876503,166.19945839047432,42.72601395845413,9.764197885990143,100.12855565547943,59.275109976530075,13.096256792545319,10.192178845405579,13.95410841703415,160.36775916814804,58.959017008543015,53.6600056886673,39.50327077507973,191.5320110321045,29.73437738418579,61.77297967672348,16.744482308626175,97.47728052735329,28.782954931259155,13.009536266326904,18.144727885723114,169.6066456735134,47.79580143094063,65.00778204202652,43.60555583238602,91.97587490081787,46.44229778647423,17.24790757894516,60.82944458723068,37.017776787281036,85.71996814012527,82.56124952435493,30.73402690887451,16.667300701141357,23.83511108160019,91.64458522200584,126.12211069464684,30.351405918598175
특수요원,24.389448136091232,38.22760635614395,73.458017796278,47.0550539791584,21.371286273002625,27.109784245491028,18.955849915742874,259.19157192111015,31.545534908771515,18.038984090089798,45.037359327077866,19.841015577316284,21.409877210855484,93.10770019888878,30.041102647781372,21.187812626361847,114.54062789678574,37.88545462489128,16.310711681842804,56.948336243629456,17.680571407079697,33.409882724285126,14.138509452342987,54.57856401801109,166.9749336540699,51.787587493658066,8.894804835319519,103.49926397204399,69.49716159701347,10.103197395801544,8.475755155086517,10.822729289531708,164.59781089425087,72.46643564105034,48.93990674614906,37.846499502658844,211.27468433976173,28.42199668288231,70.87970343232155,17.231054723262787,101.01341822743416,32.849161714315414,13.484325528144836,17.897177159786224,173.72993436455727,54.285387724637985,68.32561963796616,40.14489269256592,95.25470945239067,53.58688732981682,14.602974593639374,56.06223803758621,35.46994608640671,87.68282416462898,90.34055796265602,30.172821521759033,16.535776793956757,22.657478094100952,88.92778408527374,130.36554005742073,37.32071468234062
중첩,25.23864895105362,32.54573252797127,70.02938440442085,46.677729934453964,15.833889961242676,24.799080103635788,22.725817680358887,250.68556901812553,25.4227215051651,21.002606689929962,52.17855989933014,16.70928844809532,25.700249433517456,82.03023365139961,21.936514765024185,20.92041975259781,108.89162629842758,42.61447721719742,12.815311551094055,47.19349095225334,20.988314390182495,29.629600405693054,11.13457590341568,69.1483981013298,142.5778221487999,63.4795443713665,7.313783556222916,96.7687933743,78.53369930386543,6.707943618297577,6.0789675414562225,7.111079066991806,144.5948205590248,86.62020775675774,37.67493882775307,32.83810377120972,208.3252956867218,25.754683792591095,77.41771841049194,16.36328226327896,88.66148725152016,37.45740121603012,13.932110786437988,16.648479163646698,151.4848109483719,60.184755474328995,64.29363590478897,31.31111067533493,86.08755230903625,60.009167820215225,10.397404819726944,41.23670908808708,29.983208656311035,75.00195547938347,93.95245268940926,24.10204580426216,15.007532835006714,19.313343673944473,73.57890567183495,116.94957357645035,45.15177792310715
월간,24.809233486652374,39.21145212650299,74.23995333909988,47.85467743873596,22.342878580093384,27.66320115327835,19.2022887468338,259.7879971265793,32.3921765089035,18.33679336309433,45.00918751955032,20.710108995437622,21.558451175689697,94.67334353923798,31.27396649122238,21.70088839530945,115.07940715551376,38.32232874631882,17.10148376226425,58.033003747463226,17.89754432439804,34.39072299003601,14.848603367805481,54.44589006900787,169.13860565423965,52.02581590414047,9.281653046607971,105.01974654197693,69.59730118513107,10.919602513313293,8.996667087078094,11.666937470436096,166.2975761294365,72.29138833284378,50.43265813589096,38.91716128587723,211.80802536010742,29.30301797389984,71.00602722167969,17.51903659105301,101.8407090306282,33.10678744316101,13.80419921875,18.404631733894348,175.45997673273087,54.67553406953812,69.10325527191162,41.47100704908371,96.1997492313385,53.823697209358215,15.372721195220947,57.494948983192444,36.40625864267349,88.3767562508583,91.22777473926544,30.68693107366562,16.873110115528107,23.318143844604492,90.6604191660881,131.77875119447708,37.14973109960556
일치,25.445132791996002,33.74242466688156,70.97527351975441,47.22169303894043,16.803392380475998,25.523878633975983,22.74020767211914,253.03769728541374,25.352879256010056,20.81026917695999,52.156023263931274,16.851419746875763,25.6062234044075,82.56019207835197,22.958124458789825,21.398319721221924,109.91998672485352,42.390564888715744,13.202097326517105,48.31526494026184,20.923510551452637,29.58919656276703,11.437275767326355,68.75461226701736,143.3089740872383,63.44123438000679,7.501207500696182,97.44884052872658,78.37891083955765,7.28701388835907,6.499601453542709,7.729160726070404,145.67340663075447,86.71449995040894,37.335130393505096,32.94012573361397,209.80230084061623,25.29822838306427,78.03640592098236,17.081181704998016,90.89578053355217,37.94878512620926,14.321470975875854,17.133245527744293,153.73223254084587,60.72503614425659,65.12543335556984,32.132555186748505,87.34008917212486,59.856341391801834,10.79288387298584,42.757955729961395,30.356911808252335,76.10271990299225,93.60846731066704,23.9442820250988,15.473264634609222,19.72378361225128,74.94697201251984,117.81410112977028,45.30451190471649
